epoch,iou,loss,val_iou,val_loss
0,0.9707,0.0293,0.9625,0.0377
1,0.9723,0.0278,0.9624,0.0377
2,0.9735,0.0265,0.9618,0.0383
3,0.9750,0.0250,0.9654,0.0347
4,0.9763,0.0237,0.9644,0.0357
5,0.9775,0.0226,0.9655,0.0348
6,0.9784,0.0216,0.9664,0.0340
7,0.9792,0.0206,0.9671,0.0333
8,0.9799,0.0197,0.9677,0.0327
9,0.9805,0.0188,0.9682,0.0322
10,0.9810,0.0180,0.9686,0.0317
11,0.9815,0.0173,0.9689,0.0313
12,0.9819,0.0166,0.9692,0.0309
13,0.9823,0.0160,0.9694,0.0305
14,0.9826,0.0154,0.9696,0.0302
15,0.9829,0.0149,0.9697,0.0299
